SMILES,LogP
BrC(Br)(Br)Br,4.147
C12C3CC(C1)C(C23)Br,4.168
C1(CC2CC1CC2)Br,4.308
C1CC(CCC1)Br,4.719
C(Br)C(CBr)(CBr)CBr,5.535
C1C(O1)CBr,2.186
C(Br)CCBr,3.435
C(CCCCCBr)CCCCBr,7.54
C=1C=CC=CC=1CCCBr,4.289
C(CBr)C1=CC=CC=C1,5.071
C(Br)C1=CC=CC=C1,4.594
BrC=1C(Br)=C(Br)C(Br)=C(Br)C=1Br,7.925
C=1(C=2C(=C(Br)C=C(Br)C=2Br)Br)C(=C(Br)C=C(Br)C=1Br)Br,3.6315
C1(=C(C=C(C(=C1)Br)Br)Br)Br,5.785
C1=C(Br)C=C(Br)C(=C1Br)NC=2NCCN=2,4.119
O(C=1C(Br)=C(Br)C(Br)=C(C=1Br)Br)C=2C=C(Br)C(=CC=2Br)Br,6.8165
C1=CC=CC=2N=NC(=CC1=2)Br,2.907
C=1N2C(C=CC=C2)=CC=1C3=CC=C(Br)C=C3,7.2490000000000006
C=1C=C(C=CC=1Br)C=2C=CC(=CC=2)Br,7.17
C1(C=2C=CC(Br)=CC=2)=CC=CC=C1,6.609
C=1(C=C(C(=CC=1Br)Br)C2=CC(Br)=CC=C2Br)Br,7.728
C=1(Br)C=CC(Br)=CC=1,5.944
N(C=1C=CC(=CC=1)Br)C=2NCCN=2,3.45
BrC1=CC(=C(Br)C=C1OC2=CC=C(Br)C=C2Br)Br,8.235
C=12C(=CC=C(Br)C=1)C=CC=N2,4.632
N1=CNC=C1CCSC2=NC(=CN2)C3=CC(=CC=C3)Br,5.09
C=1N2C(C=CC=C2)=CC=1C3=CC(=CC=C3)Br,6.927
C=1N2C(C=CC=C2)=CC=1C3=CC(=CC=C3)Br.CC(=O)CN4C=CN=C4[N+]([O-])=O,4.517
C1(C2=CC(=CC=C2)Br)=CC=CC=C1,5.844
C1=C(C=C(C=C1)Br)Br,5.312
C1CN=C(N1)NC2=C(C=CC=C2Br)Br,3.563
BrC=1C(=CC=C(Br)C=1Br)OC2=CC(=CC=C2)Br,8.246
C1=C(C=CC=C1)Br,4.745
BrC1=CC=CC=C1Br,5.122
C=1N=CC(Br)=CC=1,2.98
C1=CC(Br)=CC=N1,3.035
BrC=1C=COC=1,3.674
BrC=1C=CSC=1,3.746
C1=CC(=C(S1)Br)Br,5.619
